houseid,description,price,bedrooms,bathrooms,floor_area,land_area,latitude,longitude,city,province
1,"Preselling 2-Storey Townhouses in Village East Executive Subdivision, Cainta",9500000.0,4.0,3.0,144.0,136.0,14.5823408,121.1180438,Santo Domingo,Cainta
2,"Affordable House & Lot with Complete Amenities for Sale in Santa Maria, Bulacan",4400000.0,3.0,2.0,63.2,80.0,14.8077154,121.0024016,San Vicente,Santa Maria
3,5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Ella 110sqm,7810000.0,5.0,3.0,100.0,110.0,15.4777848,120.6140745,Camella Tarlac Access Rd. Maliwalo,Tarlac
4,"Maya Solo 3 Bedrooms Single Detached House for Sale in Gabon, Abucay, Bataan",,3.0,2.0,67.0,88.0,14.7178136,120.531325,Gabon,Abucay
5,Futura Homes Zamboanga | Amber 2BR Townhouse End Unit for Sale in Zamboanga City | Futura by Filinvest,3275000.0,2.0,1.0,40.3,78.4,6.9483885,122.1148889,Zambowood Rd. Boalan,Zamboanga
6,"Springfield View | Molave House and Lot for Sale in Tanza, Cavite | Futura by Filinvest",3167300.0,,,39.6,100.0,14.3631351,120.8207756,Remulla Drive Tanza-Naic Rd. Sahud Ulan,Tanza
7,"2BR 2-Storey Townhouse for Sale at Marytown Place Ph2 in Santa Maria, Bulacan | Inner Unit (IRIS)",1800000.0,2.0,2.0,52.0,40.0,14.8279751,121.0003891,Santa Maria-San Jose Rd. Bulac,Santa Maria
8,"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 121sqm",8428000.0,5.0,3.0,142.0,121.0,14.9131781,120.2282421,Aningway Sacatihan,Subic
9,2-Bedroom House and Lot For Sale in Camella Pili,3565000.0,2.0,1.0,46.0,63.0,13.5979899,123.2430657,Zone 1 Brgy. Cadlan Pili Camarines Sur Cadlan,Pili
10,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)",28650000.0,3.0,3.0,219.3,90.0,14.4270005,121.0452782,Km. 19 West Service Rd. Cupang,Muntinlupa
11,"3-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Akan Model",3500000.0,3.0,2.0,102.4,154.0,15.0941848,120.6701583,Km.71,North Luzon Expressway Panipuan
12,"3BR 2-Storey Townhouse for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Bulan Model",5300000.0,3.0,2.0,70.3,67.0,7.1035383,125.4948467,Tugbok,Davao
13,"2 bedroom Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave",1800000.0,2.0,1.0,46.0,41.0,14.9717467,120.9434431,Caingin,San Rafael
14,"4BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Dana 99sqm",7337000.0,4.0,3.0,85.0,99.0,15.4710779,120.9821312,Emilio Vergara Hwy Santa Arcadia,Cabanatuan
15,Luxury 2 Storey Residential House  Sun Valley Parañaque City,45001005.0,6.0,5.0,337.0,350.0,14.4888415,121.0325173,Sun Valley,Paranaque
16,3-Bedroom House and Lot for Sale in Pavia Iloilo at Parc Regency Residences | STEPHANIE Model,4080345.0,3.0,2.0,52.0,80.0,10.7529006,122.5376029,Ungka Ii,Pavia
17,"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 176sqm",10082000.0,5.0,3.0,142.0,176.0,14.9131781,120.2282421,Aningway Sacatihan,Subic
18,"2BR 2-Storey Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave",1800000.0,2.0,1.0,46.0,41.0,14.9717467,120.9434431,Caingin,San Rafael
19,"4BR Single Detached House and Lot for Sale in Lipa, Batangas | The Villages at Lipa - Sierra Village, SD119",7500000.0,4.0,3.0,119.0,150.0,13.9984308,121.1674592,Bugtong Na Pulo,Lipa
20,"3-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | ALICE Model",2292960.0,3.0,1.0,40.0,40.0,14.3723207,120.8976745,Pasong Camachile I,General Trias
21,For Sale 2BR 2-Storey House and Lot in Tarlac City at Camella Tarlac | Bella 88sqm,5251000.0,2.0,2.0,53.0,88.0,15.4777848,120.6140745,Camella Tarlac Access Rd. Maliwalo,Tarlac
22,"3-Bedroom Townhouse for Sale in Tanza, Cavite at Micara Estates | PORTIA Typical End Unit w/ Fence",2258057.0,3.0,1.0,45.0,62.0,14.366749,120.8184475,Antero Soriano Highway Sahud Ulan,Tanza
23,5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Greta w/ CB 176sqm,11757000.0,5.0,3.0,166.0,176.0,15.4777848,120.6140745,Camella Tarlac Access Rd. Maliwalo,Tarlac
24,"2-Bedroom 2-Storey Townhouse for Sale in Mabalacat, Pampanga at Talanai Homes | MAHOGANY",1400000.0,2.0,1.0,40.0,40.0,15.1987752,120.6026101,Sapang Biabas,Mabalacat
25,"Townhouse with 3 Bedrooms for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Bulan Model",5300000.0,3.0,2.0,70.3,67.0,7.1035383,125.4948467,Tugbok,Davao
26,Likha Residences | Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Muntinlupa | Typical Unit,32342000.0,3.0,3.0,247.4,93.0,14.4378843,121.0503212,Cupang,Muntinlupa
27,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)",26393000.0,3.0,3.0,219.3,91.0,14.4270005,121.0452782,Km. 19 West Service Rd. Cupang,Muntinlupa
28,"3-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | ANICA Model",2389000.0,3.0,1.0,50.0,50.0,14.3723207,120.8976745,Pasong Camachile I,General Trias
29,"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Greta 246sqm",12772000.0,5.0,3.0,166.0,246.0,14.9131781,120.2282421,Aningway Sacatihan,Subic
30,"House and Lot for Sale in Highlands Subdivision, Brgy. Palo-Alto, Calamba Laguna",3500000.0,,,,104.0,14.1839549,121.1072903,Palo-Alto,Calamba
31,"Preselling 2-Storey Townhouses in Village East Executive Subdivision, Cainta",9500000.0,4.0,3.0,144.0,136.0,14.5823408,121.1180438,Santo Domingo,Cainta
32,"Affordable House & Lot with Complete Amenities for Sale in Santa Maria, Bulacan",4400000.0,3.0,2.0,63.2,80.0,14.8077154,121.0024016,San Vicente,Santa Maria
33,5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Ella 110sqm,7810000.0,5.0,3.0,100.0,110.0,15.4777848,120.6140745,Camella Tarlac Access Rd. Maliwalo,Tarlac
34,"Maya Solo 3 Bedrooms Single Detached House for Sale in Gabon, Abucay, Bataan",,3.0,2.0,67.0,88.0,14.7178136,120.531325,Gabon,Abucay
35,Futura Homes Zamboanga | Amber 2BR Townhouse End Unit for Sale in Zamboanga City | Futura by Filinvest,3275000.0,2.0,1.0,40.3,78.4,6.9483885,122.1148889,Zambowood Rd. Boalan,Zamboanga
36,"Springfield View | Molave House and Lot for Sale in Tanza, Cavite | Futura by Filinvest",3167300.0,,,39.6,100.0,14.3631351,120.8207756,Remulla Drive Tanza-Naic Rd. Sahud Ulan,Tanza
37,"2BR 2-Storey Townhouse for Sale at Marytown Place Ph2 in Santa Maria, Bulacan | Inner Unit (IRIS)",1800000.0,2.0,2.0,52.0,40.0,14.8279751,121.0003891,Santa Maria-San Jose Rd. Bulac,Santa Maria
38,"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 121sqm",8428000.0,5.0,3.0,142.0,121.0,14.9131781,120.2282421,Aningway Sacatihan,Subic
39,2-Bedroom House and Lot For Sale in Camella Pili,3565000.0,2.0,1.0,46.0,63.0,13.5979899,123.2430657,Zone 1 Brgy. Cadlan Pili Camarines Sur Cadlan,Pili
40,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)",28650000.0,3.0,3.0,219.3,90.0,14.4270005,121.0452782,Km. 19 West Service Rd. Cupang,Muntinlupa
41,"3-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Akan Model",3500000.0,3.0,2.0,102.4,154.0,15.0941848,120.6701583,Km.71,North Luzon Expressway Panipuan
42,"3BR 2-Storey Townhouse for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Bulan Model",5300000.0,3.0,2.0,70.3,67.0,7.1035383,125.4948467,Tugbok,Davao
43,"2 bedroom Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave",1800000.0,2.0,1.0,46.0,41.0,14.9717467,120.9434431,Caingin,San Rafael
44,"4BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Dana 99sqm",7337000.0,4.0,3.0,85.0,99.0,15.4710779,120.9821312,Emilio Vergara Hwy Santa Arcadia,Cabanatuan
45,Luxury 2 Storey Residential House  Sun Valley Parañaque City,45001005.0,6.0,5.0,337.0,350.0,14.4888415,121.0325173,Sun Valley,Paranaque
46,3-Bedroom House and Lot for Sale in Pavia Iloilo at Parc Regency Residences | STEPHANIE Model,4080345.0,3.0,2.0,52.0,80.0,10.7529006,122.5376029,Ungka Ii,Pavia
47,"4-Bedroom Townhouse for Sale in Imus, Cavite at Lancaster New City | ADELLE Model",3336800.0,4.0,2.0,70.0,60.0,14.4084522,120.8964956,Alapan Ii-A,Imus
48,"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 176sqm",10082000.0,5.0,3.0,142.0,176.0,14.9131781,120.2282421,Aningway Sacatihan,Subic
49,"2BR 2-Storey Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave",1800000.0,2.0,1.0,46.0,41.0,14.9717467,120.9434431,Caingin,San Rafael
50,"4BR Single Detached House and Lot for Sale in Lipa, Batangas | The Villages at Lipa - Sierra Village, SD119",7500000.0,4.0,3.0,119.0,150.0,13.9984308,121.1674592,Bugtong Na Pulo,Lipa
51,"3-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | ALICE Model",2292960.0,3.0,1.0,40.0,40.0,14.3723207,120.8976745,Pasong Camachile I,General Trias
